feature,p,q,score
L_T1,8,5,-3058.122235657438
L_T2,7,4,-357.36617456178647
L_T3,8,4,-2059.657249474556
L_T4,5,2,1828.2974302122625
L_T5,4,4,-213.3071243048189
L_T6,1,4,-2986.271842838729
L_T7,4,5,3138.2114098888906
F_PU1,4,3,11664.250839007254
S_PU1,1,0,inf
F_PU2,5,3,17192.663796025132
S_PU2,5,4,-1011.7378174297628
F_PU3,1,0,inf
S_PU3,1,0,inf
F_PU4,8,2,14575.177375686688
S_PU4,7,5,304.2905931145233
F_PU5,1,0,inf
S_PU5,1,0,inf
F_PU6,1,0,inf
S_PU6,1,0,inf
F_PU7,8,3,16801.059413720257
S_PU7,8,5,1312.8752953610774
F_PU8,8,3,15200.332449555563
S_PU8,8,3,946.3835827397061
F_PU9,1,0,inf
S_PU9,1,0,inf
F_PU10,5,5,15021.971007397056
S_PU10,7,3,1318.423663503214
F_PU11,1,0,inf
S_PU11,1,0,inf
F_V2,8,5,17701.01054000105
S_V2,8,5,-226.69140733647055
P_J280,2,2,-17975.314124171062
P_J269,4,3,9285.650305707495
P_J300,8,4,7229.62007708349
P_J256,8,5,11620.277319648725
P_J289,8,4,7226.150632013937
P_J415,3,4,13518.055973018469
P_J302,8,5,10249.2526948245
P_J306,8,4,13054.364912763971
P_J307,8,5,10276.770216738227
P_J317,8,5,11869.8143629602
P_J14,4,3,9311.423703189537
P_J422,8,4,7051.171711526376
